                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5363,                 1.4975,                  1.736,                 0.5863,                0.54173,                0.56716,                0.29021,                 1.7611,                  1.787,                 1.9874,             0.00066512,             0.00066512,             0.00066512
                      2,                 1.5862,                 1.5181,                  1.766,                0.56267,                0.50967,                0.56735,                  0.322,                 1.6061,                  2.829,                 1.8335,              0.0013163,              0.0013163,              0.0013163
                      3,                 1.5005,                 1.4135,                 1.6912,                0.70806,                 0.6587,                0.72146,                0.37952,                 1.6452,                 1.3602,                 1.8394,              0.0019519,              0.0019519,              0.0019519
                      4,                 1.4492,                 1.3017,                 1.6477,                0.81464,                0.74858,                0.81448,                0.51633,                 1.3187,                 1.0974,                 1.5773,              0.0019301,              0.0019301,              0.0019301
                      5,                  1.371,                 1.2015,                 1.5796,                0.74529,                0.71559,                0.78544,                0.47657,                 1.3696,                 1.1837,                 1.5918,              0.0019301,              0.0019301,              0.0019301
                      6,                 1.3353,                 1.1176,                 1.5448,                0.80687,                0.67235,                0.77216,                 0.4458,                 1.4792,                 1.0745,                 1.6462,              0.0019068,              0.0019068,              0.0019068
                      7,                   1.29,                 1.0735,                 1.5199,                0.56857,                0.57452,                0.60933,                 0.4088,                 1.3226,                 1.5327,                 1.6099,              0.0018835,              0.0018835,              0.0018835
                      8,                 1.2635,                   1.02,                 1.5013,                0.85627,                0.76588,                0.85963,                0.57697,                 1.1822,                0.84428,                 1.4586,              0.0018602,              0.0018602,              0.0018602
                      9,                 1.2531,                 1.0035,                 1.4963,                0.87699,                0.78672,                0.87751,                0.56946,                 1.1976,                0.80715,                 1.4815,              0.0018369,              0.0018369,              0.0018369
                     10,                 1.2446,                0.98259,                 1.4877,                0.87089,                0.79863,                0.88366,                0.57573,                 1.2006,                0.78811,                 1.4777,              0.0018136,              0.0018136,              0.0018136
                     11,                 1.2048,                0.93838,                 1.4588,                0.80413,                0.81735,                0.87229,                 0.6004,                 1.1172,                0.81477,                 1.4065,              0.0017904,              0.0017904,              0.0017904
                     12,                 1.1963,                0.92243,                 1.4524,                0.83759,                0.82141,                0.88714,                 0.5956,                 1.1574,                0.73426,                 1.4377,              0.0017671,              0.0017671,              0.0017671
